Model	Type	Instance	Competition	Id	Verdict	Answered	Modality	CEX	Trivial	Size
AirplaneLD	COL	10	ReachabilityCardinality	0	FALSE	9.99	EF	FAUX	COMPLEX	85
AirplaneLD	COL	10	ReachabilityCardinality	1	TRUE	9.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	10	ReachabilityCardinality	2	FALSE	9.99	EF	FAUX	COMPLEX	42
AirplaneLD	COL	10	ReachabilityCardinality	3	TRUE	9.99	AG	FAUX	COMPLEX	28
AirplaneLD	COL	10	ReachabilityCardinality	4	TRUE	9.99	AG	FAUX	COMPLEX	43
AirplaneLD	COL	10	ReachabilityCardinality	5	TRUE	9.99	AG	FAUX	COMPLEX	58
AirplaneLD	COL	10	ReachabilityCardinality	6	TRUE	9.99	AG	FAUX	COMPLEX	100
AirplaneLD	COL	10	ReachabilityCardinality	7	TRUE	9.99	EF	VRAI	COMPLEX	23
AirplaneLD	COL	10	ReachabilityCardinality	8	TRUE	9.99	AG	FAUX	COMPLEX	76
AirplaneLD	COL	10	ReachabilityCardinality	9	TRUE	9.99	AG	FAUX	COMPLEX	4
AirplaneLD	COL	10	ReachabilityCardinality	10	TRUE	9.99	AG	FAUX	COMPLEX	26
AirplaneLD	COL	10	ReachabilityCardinality	11	TRUE	9.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	10	ReachabilityCardinality	12	TRUE	9.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	10	ReachabilityCardinality	13	TRUE	9.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	10	ReachabilityCardinality	14	FALSE	9.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	10	ReachabilityCardinality	15	TRUE	9.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	10	ReachabilityFireability	0	FALSE	9.99	EF	FAUX	CSTFALSE	17
AirplaneLD	COL	10	ReachabilityFireability	1	TRUE	9.99	EF	VRAI	COMPLEX	83
AirplaneLD	COL	10	ReachabilityFireability	2	TRUE	9.99	EF	VRAI	COMPLEX	2
AirplaneLD	COL	10	ReachabilityFireability	3	FALSE	9.99	EF	FAUX	COMPLEX	23
AirplaneLD	COL	10	ReachabilityFireability	4	FALSE	9.99	AG	VRAI	COMPLEX	10
AirplaneLD	COL	10	ReachabilityFireability	5	TRUE	9.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	10	ReachabilityFireability	6	TRUE	9.99	EF	VRAI	COMPLEX	52
AirplaneLD	COL	10	ReachabilityFireability	7	FALSE	9.99	AG	VRAI	COMPLEX	113
AirplaneLD	COL	10	ReachabilityFireability	8	FALSE	9.99	EF	FAUX	COMPLEX	18
AirplaneLD	COL	10	ReachabilityFireability	9	TRUE	9.99	EF	VRAI	COMPLEX	50
AirplaneLD	COL	10	ReachabilityFireability	10	TRUE	9.99	EF	VRAI	COMPLEX	43
AirplaneLD	COL	10	ReachabilityFireability	11	TRUE	9.99	EF	VRAI	COMPLEX	2
AirplaneLD	COL	10	ReachabilityFireability	12	TRUE	9.99	EF	VRAI	COMPLEX	5
AirplaneLD	COL	10	ReachabilityFireability	13	FALSE	9.99	AG	VRAI	COMPLEX	17
AirplaneLD	COL	10	ReachabilityFireability	14	FALSE	9.99	AG	VRAI	COMPLEX	50
AirplaneLD	COL	10	ReachabilityFireability	15	FALSE	9.99	AG	VRAI	COMPLEX	3
AirplaneLD	COL	20	ReachabilityCardinality	0	FALSE	9.99	EF	FAUX	COMPLEX	7
AirplaneLD	COL	20	ReachabilityCardinality	1	TRUE	9.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	20	ReachabilityCardinality	2	TRUE	8.99	AG	FAUX	COMPLEX	18
AirplaneLD	COL	20	ReachabilityCardinality	3	TRUE	8.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	20	ReachabilityCardinality	4	TRUE	9.99	AG	FAUX	COMPLEX	4
AirplaneLD	COL	20	ReachabilityCardinality	5	TRUE	8.99	AG	FAUX	COMPLEX	49
AirplaneLD	COL	20	ReachabilityCardinality	6	TRUE	8.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	20	ReachabilityCardinality	7	TRUE	9.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	20	ReachabilityCardinality	8	FALSE	9.99	EF	FAUX	COMPLEX	47
AirplaneLD	COL	20	ReachabilityCardinality	9	FALSE	8.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	20	ReachabilityCardinality	10	FALSE	7.99	EF	FAUX	COMPLEX	70
AirplaneLD	COL	20	ReachabilityCardinality	11	TRUE	7.99	AG	FAUX	COMPLEX	49
AirplaneLD	COL	20	ReachabilityCardinality	12	TRUE	9.99	AG	FAUX	COMPLEX	16
AirplaneLD	COL	20	ReachabilityCardinality	13	TRUE	8.99	AG	FAUX	COMPLEX	15
AirplaneLD	COL	20	ReachabilityCardinality	14	FALSE	7.99	EF	FAUX	COMPLEX	101
AirplaneLD	COL	20	ReachabilityCardinality	15	FALSE	7.99	AG	VRAI	COMPLEX	87
AirplaneLD	COL	20	ReachabilityFireability	0	FALSE	8.99	EF	FAUX	COMPLEX	74
AirplaneLD	COL	20	ReachabilityFireability	1	TRUE	8.99	AG	FAUX	COMPLEX	96
AirplaneLD	COL	20	ReachabilityFireability	2	FALSE	8.99	EF	FAUX	COMPLEX	71
AirplaneLD	COL	20	ReachabilityFireability	3	TRUE	8.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	20	ReachabilityFireability	4	FALSE	8.99	EF	FAUX	COMPLEX	38
AirplaneLD	COL	20	ReachabilityFireability	5	TRUE	8.99	EF	VRAI	COMPLEX	103
AirplaneLD	COL	20	ReachabilityFireability	6	FALSE	8.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	20	ReachabilityFireability	7	FALSE	8.99	AG	VRAI	COMPLEX	16
AirplaneLD	COL	20	ReachabilityFireability	8	FALSE	8.99	EF	FAUX	COMPLEX	84
AirplaneLD	COL	20	ReachabilityFireability	9	TRUE	8.99	EF	VRAI	COMPLEX	6
AirplaneLD	COL	20	ReachabilityFireability	10	TRUE	8.99	EF	VRAI	COMPLEX	66
AirplaneLD	COL	20	ReachabilityFireability	11	FALSE	8.99	EF	FAUX	COMPLEX	39
AirplaneLD	COL	20	ReachabilityFireability	12	TRUE	8.99	EF	VRAI	COMPLEX	39
AirplaneLD	COL	20	ReachabilityFireability	13	TRUE	8.99	EF	VRAI	COMPLEX	78
AirplaneLD	COL	20	ReachabilityFireability	14	TRUE	8.99	EF	VRAI	COMPLEX	41
AirplaneLD	COL	20	ReachabilityFireability	15	TRUE	8.99	EF	VRAI	COMPLEX	67
AirplaneLD	COL	50	ReachabilityCardinality	0	TRUE	7.99	AG	FAUX	COMPLEX	85
AirplaneLD	COL	50	ReachabilityCardinality	1	FALSE	7.99	EF	FAUX	COMPLEX	20
AirplaneLD	COL	50	ReachabilityCardinality	2	FALSE	8.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	50	ReachabilityCardinality	3	TRUE	7.99	AG	FAUX	COMPLEX	6
AirplaneLD	COL	50	ReachabilityCardinality	4	TRUE	7.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	50	ReachabilityCardinality	5	FALSE	8.99	EF	FAUX	COMPLEX	70
AirplaneLD	COL	50	ReachabilityCardinality	6	FALSE	7.99	AG	VRAI	COMPLEX	59
AirplaneLD	COL	50	ReachabilityCardinality	7	FALSE	7.99	EF	FAUX	COMPLEX	7
AirplaneLD	COL	50	ReachabilityCardinality	8	TRUE	7.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	50	ReachabilityCardinality	9	TRUE	7.99	EF	VRAI	COMPLEX	155
AirplaneLD	COL	50	ReachabilityCardinality	10	FALSE	8.99	EF	FAUX	COMPLEX	22
AirplaneLD	COL	50	ReachabilityCardinality	11	TRUE	7.99	AG	FAUX	COMPLEX	46
AirplaneLD	COL	50	ReachabilityCardinality	12	FALSE	7.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	50	ReachabilityCardinality	13	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	50	ReachabilityCardinality	14	TRUE	7.99	AG	FAUX	COMPLEX	52
AirplaneLD	COL	50	ReachabilityCardinality	15	TRUE	7.99	AG	FAUX	COMPLEX	42
AirplaneLD	COL	50	ReachabilityFireability	0	TRUE	8.99	EF	VRAI	COMPLEX	140
AirplaneLD	COL	50	ReachabilityFireability	1	FALSE	8.99	EF	FAUX	CSTFALSE	1
AirplaneLD	COL	50	ReachabilityFireability	2	TRUE	8.99	EF	VRAI	COMPLEX	54
AirplaneLD	COL	50	ReachabilityFireability	3	FALSE	8.99	AG	VRAI	COMPLEX	3
AirplaneLD	COL	50	ReachabilityFireability	4	TRUE	8.99	EF	VRAI	COMPLEX	100
AirplaneLD	COL	50	ReachabilityFireability	5	TRUE	8.99	AG	FAUX	COMPLEX	58
AirplaneLD	COL	50	ReachabilityFireability	6	TRUE	8.99	EF	VRAI	COMPLEX	118
AirplaneLD	COL	50	ReachabilityFireability	7	FALSE	8.99	AG	VRAI	COMPLEX	18
AirplaneLD	COL	50	ReachabilityFireability	8	TRUE	8.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	50	ReachabilityFireability	9	FALSE	8.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	50	ReachabilityFireability	10	TRUE	8.99	AG	FAUX	CSTTRUE	35
AirplaneLD	COL	50	ReachabilityFireability	11	TRUE	8.99	EF	VRAI	COMPLEX	149
AirplaneLD	COL	50	ReachabilityFireability	12	TRUE	8.99	AG	FAUX	COMPLEX	60
AirplaneLD	COL	50	ReachabilityFireability	13	FALSE	8.99	AG	VRAI	COMPLEX	56
AirplaneLD	COL	50	ReachabilityFireability	14	TRUE	8.99	EF	VRAI	COMPLEX	67
AirplaneLD	COL	50	ReachabilityFireability	15	FALSE	8.99	AG	VRAI	COMPLEX	2
AirplaneLD	COL	100	ReachabilityCardinality	0	FALSE	7.99	EF	FAUX	COMPLEX	47
AirplaneLD	COL	100	ReachabilityCardinality	1	FALSE	8.99	AG	VRAI	COMPLEX	76
AirplaneLD	COL	100	ReachabilityCardinality	2	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	100	ReachabilityCardinality	3	FALSE	7.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	100	ReachabilityCardinality	4	FALSE	7.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	100	ReachabilityCardinality	5	TRUE	8.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	100	ReachabilityCardinality	6	TRUE	7.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	100	ReachabilityCardinality	7	TRUE	8.99	AG	FAUX	COMPLEX	22
AirplaneLD	COL	100	ReachabilityCardinality	8	TRUE	7.99	AG	FAUX	COMPLEX	45
AirplaneLD	COL	100	ReachabilityCardinality	9	FALSE	7.99	AG	VRAI	COMPLEX	1
AirplaneLD	COL	100	ReachabilityCardinality	10	TRUE	7.99	AG	FAUX	COMPLEX	31
AirplaneLD	COL	100	ReachabilityCardinality	11	FALSE	7.99	AG	VRAI	COMPLEX	1
AirplaneLD	COL	100	ReachabilityCardinality	12	TRUE	7.99	AG	FAUX	COMPLEX	33
AirplaneLD	COL	100	ReachabilityCardinality	13	TRUE	7.99	AG	FAUX	COMPLEX	4
AirplaneLD	COL	100	ReachabilityCardinality	14	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	100	ReachabilityCardinality	15	TRUE	7.99	AG	FAUX	COMPLEX	51
AirplaneLD	COL	100	ReachabilityFireability	0	FALSE	8.99	EF	FAUX	CSTFALSE	1
AirplaneLD	COL	100	ReachabilityFireability	1	FALSE	8.99	EF	FAUX	COMPLEX	2
AirplaneLD	COL	100	ReachabilityFireability	2	TRUE	8.99	EF	VRAI	COMPLEX	6
AirplaneLD	COL	100	ReachabilityFireability	3	FALSE	8.99	AG	VRAI	COMPLEX	42
AirplaneLD	COL	100	ReachabilityFireability	4	FALSE	8.99	EF	FAUX	COMPLEX	54
AirplaneLD	COL	100	ReachabilityFireability	5	FALSE	8.99	AG	VRAI	COMPLEX	70
AirplaneLD	COL	100	ReachabilityFireability	6	FALSE	8.99	AG	VRAI	COMPLEX	1
AirplaneLD	COL	100	ReachabilityFireability	7	TRUE	8.99	EF	VRAI	COMPLEX	49
AirplaneLD	COL	100	ReachabilityFireability	8	FALSE	8.99	AG	VRAI	COMPLEX	27
AirplaneLD	COL	100	ReachabilityFireability	9	FALSE	8.99	EF	FAUX	CSTFALSE	1
AirplaneLD	COL	100	ReachabilityFireability	10	FALSE	8.99	AG	VRAI	COMPLEX	106
AirplaneLD	COL	100	ReachabilityFireability	11	TRUE	7.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	100	ReachabilityFireability	12	FALSE	8.99	AG	VRAI	COMPLEX	30
AirplaneLD	COL	100	ReachabilityFireability	13	TRUE	8.99	EF	VRAI	COMPLEX	3
AirplaneLD	COL	100	ReachabilityFireability	14	FALSE	8.99	EF	FAUX	COMPLEX	41
AirplaneLD	COL	100	ReachabilityFireability	15	TRUE	8.99	EF	VRAI	COMPLEX	26
AirplaneLD	COL	200	ReachabilityCardinality	0	TRUE	6.99	AG	FAUX	COMPLEX	29
AirplaneLD	COL	200	ReachabilityCardinality	1	TRUE	6.99	AG	FAUX	COMPLEX	18
AirplaneLD	COL	200	ReachabilityCardinality	2	TRUE	6.99	AG	FAUX	COMPLEX	58
AirplaneLD	COL	200	ReachabilityCardinality	3	FALSE	7.99	EF	FAUX	COMPLEX	103
AirplaneLD	COL	200	ReachabilityCardinality	4	FALSE	7.99	EF	FAUX	COMPLEX	4
AirplaneLD	COL	200	ReachabilityCardinality	5	TRUE	6.99	AG	FAUX	COMPLEX	52
AirplaneLD	COL	200	ReachabilityCardinality	6	TRUE	6.99	AG	FAUX	COMPLEX	113
AirplaneLD	COL	200	ReachabilityCardinality	7	TRUE	6.99	AG	FAUX	COMPLEX	18
AirplaneLD	COL	200	ReachabilityCardinality	8	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityCardinality	9	TRUE	6.99	AG	FAUX	COMPLEX	50
AirplaneLD	COL	200	ReachabilityCardinality	10	FALSE	6.99	EF	FAUX	COMPLEX	43
AirplaneLD	COL	200	ReachabilityCardinality	11	TRUE	6.99	AG	FAUX	COMPLEX	2
AirplaneLD	COL	200	ReachabilityCardinality	12	TRUE	6.99	AG	FAUX	COMPLEX	5
AirplaneLD	COL	200	ReachabilityCardinality	13	FALSE	6.99	EF	FAUX	COMPLEX	17
AirplaneLD	COL	200	ReachabilityCardinality	14	FALSE	6.99	EF	FAUX	COMPLEX	33
AirplaneLD	COL	200	ReachabilityCardinality	15	TRUE	6.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	0	TRUE	7.99	AG	FAUX	COMPLEX	36
AirplaneLD	COL	200	ReachabilityFireability	1	TRUE	7.99	AG	FAUX	COMPLEX	61
AirplaneLD	COL	200	ReachabilityFireability	2	FALSE	8.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	3	TRUE	7.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	4	FALSE	7.99	EF	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	5	TRUE	7.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	6	TRUE	7.99	EF	VRAI	COMPLEX	6
AirplaneLD	COL	200	ReachabilityFireability	7	TRUE	6.99	EF	VRAI	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	8	TRUE	7.99	AG	FAUX	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	9	FALSE	7.99	AG	VRAI	COMPLEX	1
AirplaneLD	COL	200	ReachabilityFireability	10	TRUE	7.99	EF	VRAI	COMPLEX	7
AirplaneLD	COL	200	ReachabilityFireability	11	TRUE	6.99	EF	VRAI	COMPLEX	1
