Model	Type	Instance	Competition	Id	Verdict
AirplaneLD	COL	0010	ReachabilityCardinality	00	FALSE
AirplaneLD	COL	0010	ReachabilityCardinality	01	FALSE
AirplaneLD	COL	0010	ReachabilityCardinality	02	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	03	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	04	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	05	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	06	FALSE
AirplaneLD	COL	0010	ReachabilityCardinality	07	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	08	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	09	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	10	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	11	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	12	TRUE
AirplaneLD	COL	0010	ReachabilityCardinality	13	FALSE
AirplaneLD	COL	0010	ReachabilityCardinality	14	FALSE
AirplaneLD	COL	0010	ReachabilityCardinality	15	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	00	FALSE
AirplaneLD	COL	0010	ReachabilityFireability	01	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	02	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	03	FALSE
AirplaneLD	COL	0010	ReachabilityFireability	04	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	05	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	06	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	07	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	08	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	09	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	10	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	11	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	12	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	13	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	14	TRUE
AirplaneLD	COL	0010	ReachabilityFireability	15	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	00	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	01	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	02	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	03	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	04	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	05	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	06	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	07	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	08	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	09	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	10	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	11	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	12	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	13	FALSE
AirplaneLD	COL	0020	ReachabilityCardinality	14	TRUE
AirplaneLD	COL	0020	ReachabilityCardinality	15	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	00	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	01	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	02	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	03	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	04	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	05	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	06	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	07	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	08	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	09	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	10	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	11	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	12	FALSE
AirplaneLD	COL	0020	ReachabilityFireability	13	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	14	TRUE
AirplaneLD	COL	0020	ReachabilityFireability	15	FALSE
AirplaneLD	COL	0050	ReachabilityCardinality	00	TRUE
AirplaneLD	COL	0050	ReachabilityCardinality	01	FALSE
AirplaneLD	COL	0050	ReachabilityCardinality	02	FALSE
AirplaneLD	COL	0050	ReachabilityCardinality	03	FALSE
AirplaneLD	COL	0050	ReachabilityCardinality	04	TRUE
AirplaneLD	COL	0050	ReachabilityCardinality	05	FALSE
AirplaneLD	COL	0050	ReachabilityCardinality	06	TRUE
